canton_code,num_tax_payers,income_for_taxation,pure_income,amount_of_tax_2018,avg_income,price_per_m2_median
ag,319319.0,24626028700.0,25272225100.0,659418987.0,79144.13204350509,7064.220183486239
be,482066.0,34457542300.0,35075921900.0,847732517.0,72761.6589844544,6625.0
bl,136156.0,11860028800.0,12184129700.0,414647269.0,89486.54264226329,8400.0
bs,91802.0,8205795300.0,8499572200.000001,393731605.0,92585.9153395351,12005.271151612615
fr,136505.0,9937748600.0,10465783500.0,245164558.0,76669.59818321673,7322.834645669292
ge,195869.0,19603302200.0,20345192900.0,1091815401.0,103871.42886316877,10783.132530120482
gr,100005.0,6884364600.0,7018571800.0,200701776.0,70182.20888955552,8055.555555555556
ju,32521.0,2085526200.0,2173469200.0,42092827.0,66832.79111958428,4722.222222222223
lu,188938.0,14348675300.0,14782382800.0,426761030.0,78239.33142088939,5536.521739130435
ne,76033.0,5436601500.0,5642005600.0,144709720.0,74204.69532965949,9231.578947368422
nw,21793.0,2017089300.0,2028842300.0,85807963.0,93096.05377873628,12949.640287769784
ow,18008.0,1438787100.0,1459876800.0,52019905.0,81068.23633940471,7804.878048780488
sg,232843.0,16395640200.000002,16835951000.0,424586809.0,72306.02165407593,5976.5625
so,132300.0,9563503400.0,9867396500.0,234526042.0,74583.49584278156,5188.233939673037
sz,77677.0,8934059400.0,8937281100.0,511576064.0,115056.98083087658,10348.617756512494
tg,128092.0,9541743000.0,9789174700.0,255662424.0,76422.99831371201,4796.075014521617
ti,158005.0,11962167100.0,12516756900.0,460544241.0,79217.47349767413,6656.862745098039
ur,16637.0,1122257400.0,1160135700.0,25157069.0,69732.2654324698,10059.793148028442
vd,334621.0,29209489400.0,30534160600.0,1169856078.0,91249.98311522588,6563.131313131313
vs,167857.0,10455264300.0,10937495800.0,263987949.00000003,65159.604901791405,4854.658385093167
zg,62030.0,8069993900.0,8086975400.0,505255747.0,130372.0038690956,13609.268292682926
zh,719387.0,65168509600.0,67276680800.0,2622586139.0,93519.45587006716,8966.875050742876
